objectid,name
1314,"HOBART WILLIAM SMITH COLLEGES"
1315,"JEFFERSON COMMUNITY COLLEGE"
1316,"KEHILATH YAKOV RABBINICAL SEMINARY"
1317,"MEMORIAL HOSPITAL SCHOOL OF RADIATION THERAPY TECHNOLOGY"
1318,"SOUTHERN WESTCHESTER BOCES-PRACTICAL NURSING PROGRAM"
1319,"MILDRED ELLEY SCHOOL-ALBANY CAMPUS"
132,"BETHANY GLOBAL UNIVERSITY"
1320,"MIRRER YESHIVA CENT INSTITUTE"
1321,"NAZARETH COLLEGE"
1322,"ST BERNARD'S SCHOOL OF THEOLOGY AND MINISTRY"
1323,"SUNY COLLEGE OF TECHNOLOGY AT CANTON"
1324,"FARMINGDALE STATE COLLEGE"
1325,"SUNY POLYTECHNIC INSTITUTE"
1326,"SUNY CORTLAND"
1327,"HERITAGE BIBLE COLLEGE"
1328,"LEONS BEAUTY SCHOOL INC"
1329,"MONTGOMERY COMMUNITY COLLEGE"
133,"ZMS THE ACADEMY"
1330,"PFEIFFER UNIVERSITY"
1331,"RICHMOND COMMUNITY COLLEGE"
1332,"WESTMINSTER COLLEGE"
1333,"ROWAN-CABARRUS COMMUNITY COLLEGE"
1334,"SAMPSON COMMUNITY COLLEGE"
1335,"SANDHILLS COMMUNITY COLLEGE"
1336,"PAUL MITCHELL THE SCHOOL-FAYETTEVILLE"
1337,"JOSEF'S SCHOOL OF HAIR, SKIN & BODY-GRAND FORKS"
1338,"DIVERS ACADEMY INTERNATIONAL"
1339,"RIZZIERI AVEDA SCHOOL FOR BEAUTY AND WELLNESS"
134,"EVANS HAIRSTYLING COLLEGE-CEDAR CITY"
1340,"ATLANTIC BEAUTY & SPA ACADEMY LLC"
1341,"KETTERING COLLEGE"
1342,"COLEGIO UNIVERSITARIO DE SAN JUAN"
1343,"EDP UNIVERSITY OF PUERTO RICO INC-SAN SEBASTIAN"
1344,"EMMA'S BEAUTY ACADEMY-MAYAGUEZ"
1345,"INSTITUTO TECNOLOGICO DE PUERTO RICO-RECINTO DE MANATI"
1346,"INTER AMERICAN UNIVERSITY OF PUERTO RICO-AGUADILLA"
1347,"INTER AMERICAN UNIVERSITY OF PUERTO RICO-ARECIBO"
1348,"INTER AMERICAN UNIVERSITY OF PUERTO RICO-METRO"
1349,"INTER AMERICAN UNIVERSITY OF PUERTO RICO-CENTRAL OFFICE"
135,"ERIC FISHER ACADEMY"
1350,"INTERNATIONAL TECHNICAL COLLEGE"
1351,"LICEO DE ARTE Y TECNOLOGIA"
1352,"ANTIOCH UNIVERSITY-LOS ANGELES"
1353,"PROTEGE ACADEMY"
1354,"P&A SCHOLARS BEAUTY SCHOOL"
1355,"UNIVERSITY SYSTEM OF MARYLAND-RESEARCH CENTERS"
1356,"INTER AMERICAN UNIVERSITY OF PUERTO RICO-SCHOOL OF OPTOMETRY"
1357,"PLATT COLLEGE-SAN DIEGO"
1358,"WHITE EARTH TRIBAL AND COMMUNITY COLLEGE"
1359,"SANTA ANA COLLEGE"
136,"AMERICAN TRADE SCHOOL"
1360,"YORK COUNTY SCHOOL OF TECHNOLOGY-ADULT & CONTINUING EDUCATION"
1361,"JEFFERSON COUNTY DUBOIS AREA VOCATIONAL TECHNICAL PRACTICAL NURSING PROGRAM"
1362,"MIFFLIN COUNTY ACADEMY OF SCIENCE AND TECHNOLOGY"
1363,"ARIZONA COLLEGE-GLENDALE"
1364,"OREGON COAST COMMUNITY COLLEGE"
1365,CET-ALEXANDRIA
1366,"CENTURA COLLEGE-RICHMOND MAIN"
1367,"GREEN COUNTRY TECHNOLOGY CENTER"
1368,"OTTAWA UNIVERSITY-MILWAUKEE"
1369,"AOMA GRADUATE SCHOOL OF INTEGRATIVE MEDICINE"
137,"AMERICAN TECHNICAL INSTITUTE"
1370,"MASSAGE THERAPY INSTITUTE OF COLORADO"
1371,"FAUST INSTITUTE OF COSMETOLOGY-SPIRIT LAKE"
1372,"BLESSING HOSPITAL SCHOOL OF MEDICAL LABORATORY TECHNOLOGY"
1373,"ACADEMY OF HAIR DESIGN-LUFKIN"
1374,"NORTHWEST HVAC/R TRAINING CENTER"
